start_time,close,datetime,high,low,open,volume
1717322400000,67536.1,2024-06-02 10:00:00,67589.1,67380.1,67536.9,90.78214481
1717326000000,68254.2,2024-06-02 11:00:00,68328.3,67467.2,67536.1,320.325337
1717329600000,67939.9,2024-06-02 12:00:00,68314.2,67850.0,68254.2,218.35676739
1717333200000,68162.7,2024-06-02 13:00:00,68228.2,67795.1,67939.9,132.32133851
1717336800000,68258.5,2024-06-02 14:00:00,68472.3,68069.1,68161.8,286.05214782
1717340400000,68147.1,2024-06-02 15:00:00,68303.1,68019.1,68258.5,102.03682651
1717344000000,68104.3,2024-06-02 16:00:00,68214.1,67985.8,68147.2,61.95844903
1717347600000,67881.7,2024-06-02 17:00:00,68109.2,67829.7,68104.3,116.69320551
1717351200000,67703.8,2024-06-02 18:00:00,67881.7,67458.2,67881.7,247.97235906
1717354800000,67740.7,2024-06-02 19:00:00,67799.0,67267.1,67703.9,205.38788638
1717358400000,67836.2,2024-06-02 20:00:00,67839.8,67581.3,67740.7,50.72100026
1717362000000,67819.0,2024-06-02 21:00:00,67920.3,67754.6,67836.2,62.84927904
1717365600000,67935.4,2024-06-02 22:00:00,68003.0,67811.4,67818.2,84.73121174
1717369200000,67767.7,2024-06-02 23:00:00,67993.1,67767.6,67935.4,57.72177425
1717372800000,67816.3,2024-06-03 00:00:00,67872.0,67613.4,67767.6,160.77986384
1717376400000,68483.0,2024-06-03 01:00:00,68576.6,67809.3,67816.4,455.26367708
1717380000000,68428.9,2024-06-03 02:00:00,68800.0,68412.0,68483.1,583.17230502
1717383600000,68392.2,2024-06-03 03:00:00,68524.0,68219.6,68429.8,189.24842425
1717387200000,68511.7,2024-06-03 04:00:00,68617.4,68294.5,68394.2,180.03593366
1717390800000,68719.9,2024-06-03 05:00:00,68818.3,68450.4,68511.6,535.96984286
1717394400000,69045.0,2024-06-03 06:00:00,69224.9,68635.5,68719.9,617.02955689
1717398000000,68914.6,2024-06-03 07:00:00,69195.0,68810.6,69045.0,545.79472903
1717401600000,69146.1,2024-06-03 08:00:00,69333.0,68914.6,68914.6,355.01969708
1717405200000,69016.7,2024-06-03 09:00:00,69189.9,68913.9,69146.0,137.7102652
1717408800000,68919.9,2024-06-03 10:00:00,69189.4,68888.8,69018.2,224.04038434
1717412400000,69087.3,2024-06-03 11:00:00,69257.1,68849.3,68920.0,226.13208458
1717416000000,69748.7,2024-06-03 12:00:00,69787.9,69087.3,69087.4,576.08123675
1717419600000,69784.3,2024-06-03 13:00:00,70299.4,69524.8,69749.0,1250.62440414
1717423200000,68776.3,2024-06-03 14:00:00,70074.6,68516.4,69784.2,944.60453709
1717426800000,69613.3,2024-06-03 15:00:00,69626.2,68757.9,68775.8,416.57410948
1717430400000,69080.1,2024-06-03 16:00:00,69706.3,68910.9,69613.4,370.47341653
1717434000000,69271.0,2024-06-03 17:00:00,69397.8,68803.1,69080.1,129.63105202
1717437600000,69294.6,2024-06-03 18:00:00,69455.2,69160.0,69271.3,203.97043325
1717441200000,69218.5,2024-06-03 19:00:00,69311.2,69020.5,69294.7,122.22160396
1717444800000,69103.2,2024-06-03 20:00:00,69500.0,69103.2,69218.4,162.90838856
1717448400000,69086.3,2024-06-03 21:00:00,69198.0,68916.6,69103.3,77.05219986
1717452000000,69043.8,2024-06-03 22:00:00,69140.6,68805.8,69086.3,123.75410214
1717455600000,68800.7,2024-06-03 23:00:00,69057.1,68732.0,69043.9,116.60392548
1717459200000,69006.0,2024-06-04 00:00:00,69111.3,68650.2,68800.7,310.32860475
1717462800000,69220.2,2024-06-04 01:00:00,69221.8,68904.0,69006.0,173.02772088
1717466400000,69145.9,2024-06-04 02:00:00,69327.3,69089.2,69220.2,290.36125469
1717470000000,69167.9,2024-06-04 03:00:00,69370.3,69124.0,69145.9,124.51921135
1717473600000,69067.8,2024-06-04 04:00:00,69276.2,69055.8,69168.0,178.15028013
1717477200000,68963.8,2024-06-04 05:00:00,69162.5,68915.4,69066.5,146.2031111
1717480800000,68910.9,2024-06-04 06:00:00,69054.5,68757.8,68966.7,429.8129708
1717484400000,69011.3,2024-06-04 07:00:00,69078.2,68895.0,68910.9,152.89486759
